bcc,fcc,hcp,Interatomic dist,nd,cn sur,Ed,Edw,Eu,SE,WF,CN,atomic n,valence e,element period,element weight,covalent r,EN Pauling,EN Allred,E
0.0,0.0,1.0,0.6825688073394494,0.1111111111111111,1.0,0.9234411996842935,0.778850796716562,0.5235982250907625,0.3638743455497383,0.44791666666666663,0.2857142857142857,0.3275862068965517,0.3333333333333333,0.5,0.30437928834097533,0.6382978723404253,0.0833333333333334,0.17187499999999983,-776.0
0.0,0.0,1.0,0.6825688073394494,0.1111111111111111,1.0,0.9234411996842935,0.778850796716562,0.5235982250907625,0.3638743455497383,0.44791666666666663,0.2857142857142857,0.3275862068965517,0.3333333333333333,0.5,0.30437928834097533,0.6382978723404253,0.0833333333333334,0.17187499999999983,-747.0
0.0,0.0,1.0,0.6825688073394494,0.1111111111111111,1.0,0.9234411996842935,0.778850796716562,0.5235982250907625,0.3638743455497383,0.44791666666666663,0.42857142857142855,0.3275862068965517,0.3333333333333333,0.5,0.30437928834097533,0.6382978723404253,0.0833333333333334,0.17187499999999983,-728.0
0.0,0.0,1.0,0.6825688073394494,0.1111111111111111,1.0,0.9234411996842935,0.778850796716562,0.5235982250907625,0.3638743455497383,0.44791666666666663,0.7142857142857143,0.3275862068965517,0.3333333333333333,0.5,0.30437928834097533,0.6382978723404253,0.0833333333333334,0.17187499999999983,-887.0
0.0,0.0,1.0,0.6825688073394494,0.1111111111111111,0.8,0.9265982636148381,0.7943022694350554,0.3227107704719645,0.37434554973821993,0.13541666666666663,0.0,0.3275862068965517,0.3333333333333333,0.5,0.30437928834097533,0.6382978723404253,0.0833333333333334,0.17187499999999983,-380.0
0.0,0.0,1.0,0.6825688073394494,0.1111111111111111,0.8,0.9265982636148381,0.7943022694350554,0.3227107704719645,0.37434554973821993,0.13541666666666663,0.14285714285714285,0.3275862068965517,0.3333333333333333,0.5,0.30437928834097533,0.6382978723404253,0.0833333333333334,0.17187499999999983,-799.0
0.0,0.0,1.0,0.6825688073394494,0.1111111111111111,0.8,0.9265982636148381,0.7943022694350554,0.3227107704719645,0.37434554973821993,0.13541666666666663,0.5714285714285714,0.3275862068965517,0.3333333333333333,0.5,0.30437928834097533,0.6382978723404253,0.0833333333333334,0.17187499999999983,-583.0
0.0,0.0,1.0,0.6825688073394494,0.1111111111111111,0.8,0.9265982636148381,0.7943022694350554,0.3227107704719645,0.37434554973821993,0.13541666666666663,0.5714285714285714,0.3275862068965517,0.3333333333333333,0.5,0.30437928834097533,0.6382978723404253,0.0833333333333334,0.17187499999999983,-805.0
0.0,0.0,1.0,0.6825688073394494,0.1111111111111111,0.6,0.8768745067087608,0.7112506035731531,0.3412666397741025,0.3769633507853404,0.17534722222222215,0.2857142857142857,0.3275862068965517,0.3333333333333333,0.5,0.30437928834097533,0.6382978723404253,0.0833333333333334,0.17187499999999983,-808.0
0.0,0.0,1.0,0.6825688073394494,0.1111111111111111,0.6,0.8768745067087608,0.7112506035731531,0.3412666397741025,0.3769633507853404,0.17534722222222215,1.0,0.3275862068965517,0.3333333333333333,0.5,0.30437928834097533,0.6382978723404253,0.0833333333333334,0.17187499999999983,-792.0
0.0,0.0,1.0,0.6825688073394494,0.1111111111111111,0.6,0.8768745067087608,0.7112506035731531,0.3412666397741025,0.3769633507853404,0.17534722222222215,0.7142857142857143,0.3275862068965517,0.3333333333333333,0.5,0.30437928834097533,0.6382978723404253,0.0833333333333334,0.17187499999999983,-930.0
0.0,0.0,1.0,0.40091743119266043,1.0,1.0,0.11760063141278605,0.08836310960888459,0.05889471561113356,0.03926701570680628,0.3038194444444444,0.2857142857142857,0.15517241379310345,0.1111111111111111,0.0,0.13436527619711727,0.21276595744680862,0.3257575757575757,0.8593749999999999,-397.0
0.0,0.0,1.0,0.40091743119266043,1.0,1.0,0.11760063141278605,0.08836310960888459,0.05889471561113356,0.03926701570680628,0.3038194444444444,0.42857142857142855,0.15517241379310345,0.1111111111111111,0.0,0.13436527619711727,0.21276595744680862,0.3257575757575757,0.8593749999999999,-421.0
0.0,0.0,1.0,0.40091743119266043,1.0,1.0,0.11760063141278605,0.08836310960888459,0.05889471561113356,0.03926701570680628,0.3038194444444444,0.42857142857142855,0.15517241379310345,0.1111111111111111,0.0,0.13436527619711727,0.21276595744680862,0.3257575757575757,0.8593749999999999,-438.0
0.0,0.0,1.0,0.40091743119266043,1.0,1.0,0.11760063141278605,0.08836310960888459,0.05889471561113356,0.03926701570680628,0.3038194444444444,0.7142857142857143,0.15517241379310345,0.1111111111111111,0.0,0.13436527619711727,0.21276595744680862,0.3257575757575757,0.8593749999999999,-461.0
0.0,0.0,1.0,0.40091743119266043,1.0,0.8,0.13654301499605365,0.06953162723322066,0.06373537716821304,0.0968586387434555,0.026041666666666647,0.42857142857142855,0.15517241379310345,0.1111111111111111,0.0,0.13436527619711727,0.21276595744680862,0.3257575757575757,0.8593749999999999,-225.0
0.0,0.0,1.0,0.40091743119266043,1.0,0.8,0.13654301499605365,0.06953162723322066,0.06373537716821304,0.0968586387434555,0.026041666666666647,0.2857142857142857,0.15517241379310345,0.1111111111111111,0.0,0.13436527619711727,0.21276595744680862,0.3257575757575757,0.8593749999999999,-382.0
0.0,0.0,1.0,0.40091743119266043,1.0,0.8,0.13654301499605365,0.06953162723322066,0.06373537716821304,0.0968586387434555,0.026041666666666647,0.5714285714285714,0.15517241379310345,0.1111111111111111,0.0,0.13436527619711727,0.21276595744680862,0.3257575757575757,0.8593749999999999,-421.0
