AS;Interatomic Distance (pm);CS;MI;nd;cn sur;Ed (eV);Edw (eV);Eu (eV);SE (J/m2);WF (eV);cn ADS;MS Eads/abs;Eads top;Eads b;Eads bS;Eads bL;Eads h;Eads hE;Eads hT;Eads h fcc;Eads h hcp;Eabs top;Eabs b;Eabs bS;Eabs bL;Eabs h;Eabs hE;Eabs hT;Eabs h fcc;Eabs h hcp
Ni;248.9;fcc;001;8;8;-1.39;4.97;-2.03;2.19;5.00;4;792;432;582;;;792;;;;;684;612;;;;;;;
Ni;248.9;fcc;011;8;7;-1.26;4.88;-0.45;2.27;3.88;2;711;423;;578;711;697;;;;;610;;708;;;;;;
Ni;248.9;fcc;111;8;9;-1.65;4.51;-2.27;1.93;5.43;6;708;424;;;;;;;647;651;605;;;;;;;708;593
Ir;274.1;fcc;001;7;8;-0.63;12.04;-0.35;2.79;8.13;4;761;543;656;;;761;;;;;505;527;;;;;;;
Ir;274.1;fcc;011;7;7;-0.69;11.84;1.69;2.79;6.38;2;698;577;;697;698;600;;;;;412;;530;;;;;;
Ir;274.1;fcc;111;7;9;-0.99;11.22;-2.86;2.05;8.04;3;720;534;;;;;;;697;720;555;;;;;;;588;559
Cu;256.7;fcc;001;10;8;-2.29;2.14;-1.46;1.46;4.08;4;584;292;419;;;584;;;;;455;442;;;;;;;
Cu;256.7;fcc;011;10;7;-2.29;2.06;-1.44;1.51;3.35;4;546;266;;;528;546;;;;;459;;538;;438;;;;
Cu;256.7;fcc;111;10;9;-2.56;2.00;-1.72;1.28;4.53;6;482;256;;;;;;;440;436;383;;;;;;;482;394
Au;295.0;fcc;001;10;8;-3.21;1.20;-3.09;0.86;5.41;4;447;238;391;;;447;;;;;329;413;;;;;;;
Au;295.0;fcc;011;10;7;-3.21;1.09;-1.75;0.86;4.43;6;420;246;;395;;401;;;;;314;;420;417;;;;;
Au;295.0;fcc;111;10;9;-3.39;1.12;-2.08;0.68;5.89;3;414;211;;;;;;;414;403;310;;;;;;;350;389
Ag;294.1;fcc;001;10;8;-3.87;-0.34;-3.19;0.80;3.87;4;398;176;250;;;398;;;;;310;311;;;;;;;
Ag;294.1;fcc;011;10;7;-3.91;-0.44;-2.92;0.83;3.22;6;379;170;;;364;364;;;;;317;;379;;;;;;
Ag;294.1;fcc;111;10;9;-4.05;-0.41;-5.13;0.69;4.26;6;338;161;;;;;;;320;314;268;;;;;;;338;294
W;275.1;bcc;001;4;4;2.54;16.84;0.07;3.89;5.41;4;951;522;736;;;951;;;;;;796;;;;;;;
W;275.1;bcc;011;4;6;1.93;15.27;3.89;3.14;7.11;4;763;447;672;;;763;;;;;496;;;;;;626;;
W;275.1;bcc;111;4;4;2.63;10.77;-1.34;3.47;3.97;2;717;416;717;;;;;;576;499;412;;;;;;;;
V;257.7;bcc;001;3;4;3.26;15.83;0.46;2.40;4.57;4;898;431;722;;;898;;;;;;769;;;;;;;
V;257.7;bcc;011;3;6;3.73;16.66;3.01;2.41;5.79;6;815;478;769;;;806;;;;;738;;;;;;815;;
V;257.7;bcc;111;3;4;3.97;12.29;1.85;2.70;3.17;3;773;364;770;;;;;;773;636;599;;;;;;;;
Ta;287.5;bcc;001;3;4;1.99;11.39;4.61;2.51;4.43;4;915;404;640;;;915;;;;;;740;;;;;;;
Ta;287.5;bcc;011;3;6;2.95;13.88;5.04;2.56;6.25;6;819;438;645;;;773;;;;;696;;;;;;819;;
Ta;287.5;bcc;111;3;4;2.77;9.10;2.53;2.72;3.15;2;747;373;747;;;;;;619;556;539;;;;;;;;
Nb;287.3;bcc;001;4;4;0.50;5.50;0.58;2.35;4.06;4;902;436;645;;;902;;;;;;740;;;;;;;
Nb;287.3;bcc;011;4;6;0.92;6.32;4.29;2.14;5.37;6;798;446;636;;;770;;;;;722;;;;;;798;;
Nb;287.3;bcc;111;4;4;0.98;3.23;3.17;2.36;2.88;2;716;353;716;;;;;;636;526;550;;;;;;;;
Mo;274.9;bcc;001;5;4;0.14;5.89;-0.21;3.01;5.65;4;888;512;684;;;888;;;;;;749;;;;;;;
Mo;274.9;bcc;011;5;6;-0.27;5.12;2.74;2.64;7.28;4;756;477;668;;;756;;;;;566;;;;;;679;;
Mo;274.9;bcc;111;5;4;-0.12;1.96;2.49;2.98;4.17;2;735;450;735;;;;;;620;537;508;;;;;;;;
Fe;245.3;bcc;001;6;4;0.47;10.01;-2.15;2.58;4.36;4;817;526;696;;;817;;;;;;692;;;;;;;
Fe;245.3;bcc;011;6;6;0.67;10.22;0.07;2.93;6.51;4;894;691;821;;;894;;;;;823;;;;770;;849;;
Fe;245.3;bcc;111;6;4;0.19;8.58;-2.77;2.67;3.00;2;748;495;748;;;;;;728;505;673;;;;;;;;
Cr;245.9;bcc;001;5;4;0.01;5.55;1.44;3.42;5.08;4;915;540;683;;;915;;;;;;777;;;;;;;
Cr;245.9;bcc;011;5;6;-0.28;5.33;2.24;3.29;7.37;4;750;487;659;;;750;;;;;629;;;;;;666;;
Cr;245.9;bcc;111;5;4;-0.16;-0.09;-0.84;3.40;3.68;2;755;421;755;;;;;;729;637;544;;;;;;;;
